ano,sigla_uf,id_municipio,id_escola,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao,nome
2021,MG,3122306,31364592,estadual,fundamental,iniciais (1-5),100.0,1.0,277.9,261.92,8.02967,8.0,8.7,null
2021,MG,3122306,31033405,estadual,fundamental,iniciais (1-5),100.0,1.0,255.05,256.67,7.498146,7.5,7.0,EE ILIDIO DA COSTA PEREIRA
2021,MG,3122306,31364592,estadual,fundamental,finais (6-9),97.8,0.980032,320.33,331.43,7.529333,7.4,null,null
2021,MG,3122306,31033227,estadual,fundamental,iniciais (1-5),100.0,1.0,254.87,252.21,7.41362,7.4,7.1,EE LAURO EPIFANIO
2021,MG,3122306,31033286,estadual,fundamental,iniciais (1-5),100.0,1.0,254.8,247.62,7.32883,7.3,7.6,EE PADRE MATIAS LOBATO
2021,MG,3122306,31033316,estadual,fundamental,iniciais (1-5),100.0,1.0,255.76,241.69,7.239332,7.2,7.7,EE SAO FRANCISCO DE ASSIS
2021,MG,3122306,31033189,estadual,fundamental,iniciais (1-5),100.0,1.0,246.53,241.84,7.065915,7.1,7.4,EE HALIM SOUKI
2021,MG,3122306,31033251,estadual,fundamental,iniciais (1-5),100.0,1.0,239.77,242.86,6.955452,7.0,6.7,EE MIGUEL COUTO
2021,MG,3122306,31220051,municipal,fundamental,iniciais (1-5),99.1,0.990664,245.72,239.09,7.000457,6.9,7.2,EM PROFESSOR ODILON SANTIAGO
2021,MG,3122306,31033391,estadual,fundamental,iniciais (1-5),100.0,1.0,239.88,240.44,6.913552,6.9,7.0,EE DO BAIRRO BELO VALE
2021,MG,3122306,31033006,estadual,fundamental,iniciais (1-5),100.0,1.0,237.5,239.74,6.855405,6.9,6.8,EE ANTONIO GONCALVES DE MATOS
2021,MG,3122306,31033197,estadual,fundamental,iniciais (1-5),100.0,1.0,234.56,241.69,6.834752,6.8,6.9,EE HENRIQUE GALVAO
2021,MG,3122306,31037541,municipal,fundamental,iniciais (1-5),92.9,0.925045,245.96,244.39,7.1014,6.6,6.8,EM OTAVIO OLIMPIO DE OLIVEIRA
2021,MG,3122306,31033201,estadual,fundamental,finais (6-9),99.7,0.996718,299.39,300.52,6.665167,6.6,6.4,null
2021,MG,3122306,31033316,estadual,fundamental,finais (6-9),100.0,1.0,294.43,294.43,6.481,6.5,6.8,EE SAO FRANCISCO DE ASSIS
2021,MG,3122306,31033014,estadual,fundamental,iniciais (1-5),100.0,1.0,236.81,221.75,6.515146,6.5,6.6,null
